category,repo_or_local_path,modified,size_bytes,role,source_of_truth,note
Historical research workspace,local-research://github-release/scripts/validate-riskdesk.mjs,2026-06-26 01:42,2246,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: github-release
Historical research workspace,local-research://outputs/assets/strategy-comparison.svg,2026-06-25 00:54,10338,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: outputs
Historical research workspace,local-research://outputs/data/all-strategy-backtests.json,2026-07-03 01:04,9724620,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: outputs
Historical research workspace,local-research://outputs/data/v1-backtest.json,2026-06-22 06:38,83263,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: outputs
Historical research workspace,local-research://outputs/data/v123-training-results.json,2026-07-03 01:04,97815,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: outputs
Historical research workspace,local-research://outputs/equity-strategy-workstation.html,2026-06-18 10:11,44176,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: outputs
Historical research workspace,local-research://outputs/RiskDesk-auto-weekly-live-release-20260703.zip,2026-07-03 01:27,7112185,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: outputs
Historical research workspace,local-research://outputs/riskdesk-cn.html,2026-06-19 03:08,130065,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: outputs
Historical research workspace,local-research://outputs/RiskDesk-GitHub-all15-risk-sync.zip,2026-06-26 01:51,4770331,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: outputs
Historical research workspace,local-research://outputs/RiskDesk-GitHub-backtest-score-parameter-order.zip,2026-06-26 02:14,4770317,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: outputs
Historical research workspace,local-research://outputs/RiskDesk-GitHub-clean-research-layout.zip,2026-06-26 01:42,4772043,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: outputs
Historical research workspace,local-research://outputs/RiskDesk-GitHub-free-live.zip,2026-06-26 00:34,4771352,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: outputs
Historical research workspace,local-research://outputs/RiskDesk-GitHub-live-api.zip,2026-06-26 00:31,4769976,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: outputs
Historical research workspace,local-research://outputs/RiskDesk-GitHub-selected-flow-clean.zip,2026-06-26 01:58,4770385,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: outputs
Historical research workspace,local-research://outputs/RiskDesk-GitHub-selected-portfolios.zip,2026-06-26 01:33,4771570,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: outputs
Historical research workspace,local-research://outputs/RiskDesk-GitHub-stock-universe-clean.zip,2026-06-27 00:16,4735231,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: outputs
Historical research workspace,local-research://outputs/RiskDesk-GitHub.zip,2026-06-23 06:20,1115494,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: outputs
Historical research workspace,local-research://outputs/RiskDesk-live-netlify-release-20260702.zip,2026-07-02 07:37,4766214,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: outputs
Historical research workspace,local-research://outputs/RiskDesk-updated-backtests-20260630.zip,2026-07-03 02:03,6276933,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: outputs
Historical research workspace,local-research://outputs/RiskDesk-Version-3-5-JPMorgan-AI.zip,2026-06-30 10:30,4751700,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: outputs
Historical research workspace,local-research://outputs/riskdesk.html,2026-07-03 01:04,9700377,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: outputs
Historical research workspace,local-research://paper/build_strategy_google_doc.py,2026-06-25 02:25,13176,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/figures_paper/fig1_growth_top_models.png,2026-06-26 04:29,75528,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/RiskDesk_15_Model_Strategy_Upgrade_GoogleDocs.docx,2026-06-25 05:29,41660,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/RiskDesk_15_Model_Strategy_Upgrade_GoogleDocs_sanitized.docx,2026-06-25 05:29,41653,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/RiskDesk_15_Strategy_JPMorgan_AI_Chinese_Explanation.docx,2026-06-30 02:05,45402,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/RiskDesk_AI_Model_Upgrade_Map.docx,2026-06-27 02:11,42469,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/RiskDesk_Applied_Math_Working_Paper.docx,2026-06-26 04:27,46404,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/RiskDesk_Applied_Math_Working_Paper_with_Backtest_Figures.docx,2026-06-26 04:31,337763,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/RiskDesk_Applied_Math_Working_Paper_with_Backtest_Figures_sanitized.docx,2026-06-26 04:31,337756,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/RiskDesk_CN_FIXED_20260630.docx,2026-06-30 02:05,45402,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/RiskDesk_CN_FIXED_20260630.html,2026-06-30 02:05,35684,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/RiskDesk_Master_Research_Index.docx,2026-06-26 05:09,39065,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/RiskDesk_Master_Research_Index_sanitized.docx,2026-06-26 05:09,39058,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/RiskDesk_Model_Update_Log_GoogleDoc.docx,2026-06-26 04:38,39619,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/RiskDesk_Model_Update_Log_GoogleDoc_sanitized.docx,2026-06-26 04:38,39612,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/RiskDesk_Stage0_Strategy_Upgrade_Documentation.docx,2026-06-25 05:31,55223,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/RiskDesk_Stage1_Baseline_Working_Paper_with_Backtest_Figures.docx,2026-06-26 04:31,337756,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/RiskDesk_Strategy_Parameter_Glossary_CN_EN_20260630.docx,2026-06-30 02:09,50057,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/RiskDesk_Strategy_Parameter_Glossary_CN_EN_20260630.html,2026-06-30 02:09,130031,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/RiskDesk_Strategy_Research_Documentation.docx,2026-06-25 02:25,43865,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/RiskDesk_Strategy_Research_Documentation_GoogleDocs.docx,2026-06-25 02:25,43858,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/strategy_doc_source.json,2026-06-25 02:24,21146,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/strategy_research_log.md,2026-06-30 10:29,16089,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/strategy_upgrade_log_15_models.md,2026-06-25 04:40,7375,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/upgrade 3.5 vs 3 bilingual explanation.docx,2026-07-01 00:09,39945,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/upgrade 3.5 vs 3 comparison charts.docx,2026-07-01 00:09,1359065,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/upgrade 3.5 vs 3 comparison charts.html,2026-07-01 00:09,3410,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/upgrade 3.5 vs 3 strategy changes.docx,2026-07-01 00:09,39015,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/upgrade 3vs 2.docx,2026-06-30 04:08,1565238,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/upgrade 3vs 2.html,2026-06-30 04:08,5196,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/upgrade_35vs3_figures/01_V1_Momentum_Vol_Research_Model.png,2026-07-01 00:09,89824,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/upgrade_35vs3_figures/02_V2_HMM_GARCH_MVO.png,2026-07-01 00:09,88466,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/upgrade_35vs3_figures/03_V3_Boosted_Trees_Attribution.png,2026-07-01 00:09,94396,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/upgrade_35vs3_scoreboard_change.csv,2026-07-01 00:09,3438,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/upgrade_3vs2_figures/01_V1_Momentum_Vol_Research_Model.png,2026-06-30 04:08,102431,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/upgrade_3vs2_figures/02_V2_HMM_GARCH_MVO.png,2026-06-30 04:08,105100,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/upgrade_3vs2_figures/03_V3_Boosted_Trees_Attribution.png,2026-06-30 04:08,104186,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/upgrade_3vs2_scoreboard_change.csv,2026-06-30 04:08,5603,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://paper/working_paper_outline.md,2026-06-24 02:05,1946,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: paper
Historical research workspace,local-research://research/01_data_exploration.ipynb,2026-06-24 02:06,2623,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: research
Historical research workspace,local-research://research/02_v1_momentum.ipynb,2026-06-24 02:50,157843,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: research
Historical research workspace,local-research://research/03_v2_garch_hmm_mvo.ipynb,2026-06-24 02:58,198721,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: research
Historical research workspace,local-research://research/04_v3_machine_learning.ipynb,2026-06-24 02:58,194433,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: research
Historical research workspace,local-research://research/05_model_comparison.ipynb,2026-06-24 02:06,2440,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: research
Historical research workspace,local-research://research/README.md,2026-06-24 02:05,608,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: research
Historical research workspace,local-research://results/experiment_log.csv,2026-06-30 03:06,17183,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: results
Historical research workspace,local-research://results/figures/V1/v1_top3_vol10_lev2-0.png,2026-06-24 02:50,210083,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: results
Historical research workspace,local-research://results/figures/v1_top3_vol10_lev2-0.png,2026-06-24 03:27,210083,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: results
Historical research workspace,local-research://results/figures/v1_top3_vol20_lev2-0.png,2026-06-24 03:28,209298,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: results
Historical research workspace,local-research://results/figures/v1_top3_vol25_lev2-0.png,2026-06-24 03:29,193105,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: results
Historical research workspace,local-research://results/figures/v1_top3_vol30_lev2-0.png,2026-06-24 03:29,188739,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: results
Historical research workspace,local-research://results/figures/v1_top3_vol30_lev2-5.png,2026-06-24 03:29,183218,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: results
Historical research workspace,local-research://results/figures/v1_top3_vol30_lev3-5.png,2026-06-24 03:30,172676,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: results
Historical research workspace,local-research://results/figures/v1_top4_vol10_lev2-0.png,2026-06-24 03:28,214828,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: results
Historical research workspace,local-research://results/figures/v1_top5_vol10_lev2-0.png,2026-06-24 03:28,212236,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: results
Historical research workspace,local-research://results/figures/V3/v3_estimators40_lr0-05_top5.png,2026-06-24 02:51,259606,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: results
Historical research workspace,local-research://results/strategy_change_log.csv,2026-06-30 10:29,1708,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: results
Historical research workspace,local-research://results/v2_existing_image_summary.csv,2026-06-24 03:20,2337,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: results
Historical research workspace,local-research://scripts/build-all-strategy-backtests.mjs,2026-07-03 01:02,38891,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: scripts
Historical research workspace,local-research://scripts/build-v1-backtest.mjs,2026-06-22 06:37,8295,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: scripts
Historical research workspace,local-research://scripts/build-v123-training-results.mjs,2026-06-30 05:44,15815,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: scripts
Historical research workspace,local-research://scripts/build_chinese_jpm_doc.py,2026-06-30 01:42,19873,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: scripts
Historical research workspace,local-research://scripts/build_strategy_parameter_glossary_cn_en.py,2026-06-30 02:09,25031,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: scripts
Historical research workspace,local-research://scripts/build_upgrade_35vs3_documents.py,2026-07-01 00:09,25056,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: scripts
Historical research workspace,local-research://scripts/build_upgrade_3vs2_report.py,2026-06-30 04:08,23584,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: scripts
Historical research workspace,local-research://scripts/create_strategy_upgrade_doc.py,2026-06-25 05:28,14829,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: scripts
